VTX, IDX, position.x, position.y, position.z, normal.x, normal.y, normal.z, tangent.x, tangent.y, tangent.z, texcoord0.x, texcoord0.y
0, 1912,  0.09522,  1.2833,  0.27628,  0.26948, -0.7299, -0.62685, -0.04962, -0.65986,  0.74806,  0.02323,  0.25565
1, 1911,  0.11341,  1.2711,  0.2967,  0.278, -0.69374, -0.66319, -0.05583, -0.6994,  0.7092,  0.03976,  0.23882
2, 1910,  0.11638,  1.25142,  0.31856,  0.19533, -0.7324, -0.65101, -0.05641, -0.66959,  0.73743,  0.06228,  0.23484
3, 1912,  0.09522,  1.2833,  0.27628,  0.26948, -0.7299, -0.62685, -0.04962, -0.65986,  0.74806,  0.02323,  0.25565
4, 1910,  0.11638,  1.25142,  0.31856,  0.19533, -0.7324, -0.65101, -0.05641, -0.66959,  0.73743,  0.06228,  0.23484
5, 1913,  0.09571,  1.23417,  0.33236,  0.09058, -0.74757, -0.65677, -0.05223, -0.66061,  0.74586,  0.08031,  0.25194
6, 1912,  0.09522,  1.2833,  0.27628,  0.26948, -0.7299, -0.62685, -0.04962, -0.65986,  0.74806,  0.02323,  0.25565
7, 1915,  0.04358,  1.24215,  0.30031,  0.43441, -0.79294, -0.42489, -0.12444, -0.51939,  0.84319,  0.06066,  0.2989
8, 1914,  0.02465,  1.2376,  0.28822,  0.38123, -0.73468, -0.55955, -0.06429, -0.62369,  0.77614,  0.05723,  0.31816
9, 1912,  0.09522,  1.2833,  0.27628,  0.26948, -0.7299, -0.62685, -0.04962, -0.65986,  0.74806,  0.02323,  0.25565
10, 1917,  0.0352,  1.26149,  0.27117,  0.29067, -0.63255, -0.71685,  0.02263, -0.74313,  0.66584,  0.03458,  0.30814
11, 1916,  0.06754,  1.28137,  0.26741,  0.28115, -0.59889, -0.74888,  0.02445, -0.77471,  0.6296,  0.02096,  0.27964
12, 1912,  0.09522,  1.2833,  0.27628,  0.26948, -0.7299, -0.62685, -0.04962, -0.65986,  0.74806,  0.02323,  0.25565
13, 1914,  0.02465,  1.2376,  0.28822,  0.38123, -0.73468, -0.55955, -0.06429, -0.62369,  0.77614,  0.05723,  0.31816
